id,title,link,rating,reviews,guests,bedrooms,beds,baths,years_hosting,price_original,price_discount,nights,total_nights,special_offer,cleaning_fee,service_fee,total
1,,https://www.airbnb.com/rooms/599198557658593756?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P39xbKoGRp12Kprl&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.96,103,2,No disponible,1,1,5,53,53,4,216,-5,23,33,267
2,,https://www.airbnb.com/rooms/1247355129761838145?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P3im2nH58TZamNfb&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.8,10,2,No disponible,1,1,0,49,49,4,197,0,25,31,253
3,,https://www.airbnb.com/rooms/884091806947081877?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P3ySLcGb4ZiQUIVY&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.96,75,2,1,1,1.5,7,92,92,4,377,0,18,54,438
4,,https://www.airbnb.com/rooms/837547261289676048?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P3LDYA73SJhhQUmg&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.92,74,2,1,2,1.5,5,108,89,4,356,0,62,59,477
5,,https://www.airbnb.com/rooms/1240044835794129671?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P3aTeGRfXumawTWM&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,5.0,11,2,1,1,1,5,119,119,4,476,0,40,73,589
6,,https://www.airbnb.com/rooms/1002350439705941642?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099565_P32JyGbIFU2ZG3AA&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.94,17,2,1,1,1.5,0,60,60,4,240,0,25,37,302
7,,https://www.airbnb.com/rooms/1287648805918409782?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-14&source_impression_id=p3_1736099565_P38B7UytOfEkLwtC&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,5.0,5,3,2,2,1.5,4,128,99,4,396,0,20,0,416
8,,https://www.airbnb.com/rooms/45466765?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-13&source_impression_id=p3_1736099565_P3JIVZNcjXOMDIhR&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.98,246,2,1,1,1,5,103,103,3,335,0,40,49,397
9,,https://www.airbnb.com/rooms/1257119606791639017?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-14&source_impression_id=p3_1736099565_P3_O7YMgv3ZyMq8d&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,5.0,3,2,1,1,1,7,126,126,4,530,0,25,75,603
10,,https://www.airbnb.com/rooms/35645735?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-14&source_impression_id=p3_1736099565_P3myeTrNwq_yg3r3&previous_page_section_name=1000&federated_search_id=0ccd66e6-7b88-412b-9fe0-3582bf682fa5,4.79,58,3,1,2,1,6,65,65,6,390,0,30,59,479
